,company_name,name_of_revenue_stream,paid_to,value_reported
0,Myanmar Win Gate Gems Jewellery Mining,Sale Split,Myanmar Gems Enterprise,22016118850.4
0,Myanmar Win Gate Gems Jewellery Mining,Sales Royalties,Myanmar Gems Enterprise,4368922882.61
0,Myanmar Win Gate Gems Jewellery Mining,Emporium Fees,Central Comittee,561719142.27
0,Myanmar Win Gate Gems Jewellery Mining,Other significant payments,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Production Royalties,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Production Royalties,Department of Mines,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Permit Fees,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Incentive Fees,Myanmar Gems Enterprise,561635993.49
0,Myanmar Win Gate Gems Jewellery Mining,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Corporate Income Tax,Internal Revenue Department,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Commercial Tax,Internal Revenue Department,7603074.05
0,Myanmar Win Gate Gems Jewellery Mining,Customs Duties,Customs Department,0.0
0,Myanmar Win Gate Gems Jewellery Mining,Sales Royalties,Internal Revenue Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Sale Split,Myanmar Gems Enterprise,11730129994.9
0,Sein Lom Taung Tan Gems Ltd,Sales Royalties,Myanmar Gems Enterprise,2068654718.13
0,Sein Lom Taung Tan Gems Ltd,Emporium Fees,Central Comittee,373694912.28
0,Sein Lom Taung Tan Gems Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Sein Lom Taung Tan Gems Ltd,Production Royalties,Myanmar Gems Enterprise,111056170.0
0,Sein Lom Taung Tan Gems Ltd,Production Royalties,Department of Mines,0.0
0,Sein Lom Taung Tan Gems Ltd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Sein Lom Taung Tan Gems Ltd,Incentive Fees,Myanmar Gems Enterprise,263696277.13
0,Sein Lom Taung Tan Gems Ltd,Commercial Tax,Myanmar Gems Enterprise,0.0
0,Sein Lom Taung Tan Gems Ltd,Corporate Income Tax,Internal Revenue Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Customs Duties,Customs Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Yar Za Htar Ne Gems CoLtd,Sale Split,Myanmar Gems Enterprise,8375401491.02
