,company_name,name_of_revenue_stream,paid_to,value_reported
0,Great Genesis Gems Co Ltd,Sale Split,Myanmar Gems Enterprise,6350712339.3
0,Great Genesis Gems Co Ltd,Sales Royalties,Myanmar Gems Enterprise,1984740433.42
0,Great Genesis Gems Co Ltd,Emporium Fees,Central Comittee,270770396.7
0,Great Genesis Gems Co Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Production Royalties,Myanmar Gems Enterprise,81968380.0
0,Great Genesis Gems Co Ltd,Production Royalties,Department of Mines,0.0
0,Great Genesis Gems Co Ltd,Permit Fees,Myanmar Gems Enterprise,0.0
0,Great Genesis Gems Co Ltd,Incentive Fees,Myanmar Gems Enterprise,255180661.66
0,Great Genesis Gems Co Ltd,Commercial Tax,Myanmar Gems Enterprise,4336008301.78
0,Great Genesis Gems Co Ltd,Corporate Income Tax,Internal Revenue Department,385000000.0
0,Great Genesis Gems Co Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Great Genesis Gems Co Ltd,Customs Duties,Customs Department,0.0
0,Great Genesis Gems Co Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Sale Split,Myanmar Gems Enterprise,5919094812.44
0,Sein Lom Taung Tan Gems Ltd,Sales Royalties,Myanmar Gems Enterprise,1771354936.77
0,Sein Lom Taung Tan Gems Ltd,Emporium Fees,Central Comittee,248169097.1
0,Sein Lom Taung Tan Gems Ltd,Other significant payments,Myanmar Gems Enterprise,0.0
0,Sein Lom Taung Tan Gems Ltd,Production Royalties,Myanmar Gems Enterprise,434263110.0
0,Sein Lom Taung Tan Gems Ltd,Production Royalties,Department of Mines,0.0
0,Sein Lom Taung Tan Gems Ltd,Permit Fees,Myanmar Gems Enterprise,876060000.0
0,Sein Lom Taung Tan Gems Ltd,Incentive Fees,Myanmar Gems Enterprise,227746011.54
0,Sein Lom Taung Tan Gems Ltd,Commercial Tax,Myanmar Gems Enterprise,3962067393.56
0,Sein Lom Taung Tan Gems Ltd,Corporate Income Tax,Internal Revenue Department,6329607.0
0,Sein Lom Taung Tan Gems Ltd,Commercial Tax,Internal Revenue Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Customs Duties,Customs Department,0.0
0,Sein Lom Taung Tan Gems Ltd,Sales Royalties,Internal Revenue Department,0.0
0,Wai Aung Gabar Gems Co Ltd,Sale Split,Myanmar Gems Enterprise,5032759023.22
